# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	  93	   K1	    0	         1 ---> 	 M1M3	    5	         1	     8.7583293E+03	       3.64314e-08	           1.51732
	  94	   K1	    0	         1 ---> 	 M2M2	    1	         3	     8.7905151E+03	       7.08629e-05	           1.51732
	  95	   K1	    0	         1 ---> 	 M2M3	    3	         3	     8.7968896E+03	       0.000284017	           1.51732
	  96	   K1	    0	         1 ---> 	 M2M3	    5	         2	     8.7969302E+03	       0.000431875	           1.51732
	  97	   K1	    0	         1 ---> 	 M2M3	    1	         2	     8.7997972E+03	       1.38709e-06	           1.51732
	  98	   K1	    0	         1 ---> 	 M2M3	    3	         2	     8.8004472E+03	       2.40938e-07	           1.51732
	  99	   K1	    0	         1 ---> 	 M2M3	    1	         1	     8.8005070E+03	       3.22655e-06	           1.51732
	 100	   K1	    0	         1 ---> 	 M3M3	    3	         1	     8.8020895E+03	       1.46614e-05	           1.51732
	 101	   K1	    0	         1 ---> 	 M3M3	    5	         1	     8.8026687E+03	       2.46968e-05	           1.51732
	 102	   K1	    0	         1 ---> 	 M1M5	    5	         3	     8.8250947E+03	       1.88255e-07	           1.51732
	 103	   K1	    0	         1 ---> 	 M1M5	    3	         3	     8.8250995E+03	       2.02666e-07	           1.51732
	 104	   K1	    0	         1 ---> 	 M1M4	    3	         2	     8.8301030E+03	       7.15277e-06	           1.51732
	 105	   K1	    0	         1 ---> 	 M1M5	    5	         2	     8.8302914E+03	       9.87044e-06	           1.51732
	 106	   K1	    0	         1 ---> 	 M1M4	    1	         1	     8.8306575E+03	       7.14834e-10	           1.51732
	 107	   K1	    0	         1 ---> 	 M1M4	    3	         1	     8.8307187E+03	       4.35232e-09	           1.51732
	 108	   K1	    0	         1 ---> 	 M1M5	    5	         1	     8.8308147E+03	        1.9573e-08	           1.51732
	 109	   K1	    0	         1 ---> 	 M1M5	    7	         1	     8.8309379E+03	       6.18691e-10	           1.51732
	 110	   K1	    0	         1 ---> 	 M1N1	    1	         1	     8.8376039E+03	       6.60231e-07	           1.51732
	 111	   K1	    0	         1 ---> 	 M2M5	    5	         7	     8.8675262E+03	       2.75472e-05	           1.51732
	 112	   K1	    0	         1 ---> 	 M2M5	    7	         4	     8.8675357E+03	       4.20384e-05	           1.51732
	 113	   K1	    0	         1 ---> 	 M2M4	    3	         7	     8.8686183E+03	       1.62639e-07	           1.51732
	 114	   K1	    0	         1 ---> 	 M2M4	    1	         4	     8.8686310E+03	       1.79493e-07	           1.51732
	 115	   K1	    0	         1 ---> 	 M2M5	    3	         6	     8.8748638E+03	       3.25284e-07	           1.51732
	 116	   K1	    0	         1 ---> 	 M2M5	    5	         6	     8.8753119E+03	       1.35032e-07	           1.51732
	 117	   K1	    0	         1 ---> 	 M2M4	    3	         5	     8.8756736E+03	        4.2041e-08	           1.51732
	 118	   K1	    0	         1 ---> 	 M2M4	    1	         3	     8.8758206E+03	       3.45981e-08	           1.51732
	 119	   K1	    0	         1 ---> 	 M3M5	    5	         5	     8.8762727E+03	       5.42211e-07	           1.51732
	 120	   K1	    0	         1 ---> 	 M3M5	    7	         3	     8.8768401E+03	       1.06438e-07	           1.51732
	 121	   K1	    0	         1 ---> 	 M3M4	    3	         4	     8.8768855E+03	       7.34609e-07	           1.51732
	 122	   K1	    0	         1 ---> 	 M3M4	    1	         2	     8.8772416E+03	       5.07797e-07	           1.51732
	 123	   K1	    0	         1 ---> 	 M3M4	    5	         4	     8.8774627E+03	       7.85804e-08	           1.51732
	 124	   K1	    0	         1 ---> 	 M3M4	    3	         3	     8.8778711E+03	       2.78053e-08	           1.51732
	 125	   K1	    0	         1 ---> 	 M3M4	    1	         1	     8.8779910E+03	       3.03277e-09	           1.51732
	 126	   K1	    0	         1 ---> 	 M2M4	    5	         3	     8.8805279E+03	       1.00078e-05	           1.51732
	 127	   K1	    0	         1 ---> 	 M2M4	    3	         2	     8.8808269E+03	       2.00047e-08	           1.51732
	 128	   K1	    0	         1 ---> 	 M3M4	    5	         2	     8.8821408E+03	       9.81582e-06	           1.51732
	 129	   K1	    0	         1 ---> 	 M3M4	    7	         2	     8.8823165E+03	          1.18e-05	           1.51732
	 130	   K1	    0	         1 ---> 	 M3M5	    3	         1	     8.8825601E+03	       3.54753e-09	           1.51732
	 131	   K1	    0	         1 ---> 	 M3M4	    5	         1	     8.8826004E+03	       1.42947e-07	           1.51732
	 132	   K1	    0	         1 ---> 	 M3M5	    7	         1	     8.8833150E+03	       9.35404e-06	           1.51732
	 133	   K1	    0	         1 ---> 	 M3M5	    9	         1	     8.8837892E+03	       1.35611e-09	           1.51732
	 134	   K1	    0	         1 ---> 	 M2N1	    1	         1	     8.8839063E+03	       1.55538e-08	           1.51732
	 135	   K1	    0	         1 ---> 	 M3N1	    3	         1	     8.8864198E+03	       7.17273e-10	           1.51732
	 136	   K1	    0	         1 ---> 	 M5M5	    1	         3	     8.9472512E+03	       6.99194e-09	           1.51732
	 137	   K1	    0	         1 ---> 	 M4M5	    7	         3	     8.9524762E+03	       1.26804e-06	           1.51732
	 138	   K1	    0	         1 ---> 	 M4M5	    9	         2	     8.9524801E+03	       1.60287e-06	           1.51732
	 139	   K1	    0	         1 ---> 	 M4M5	    1	         2	     8.9526713E+03	       1.12869e-12	           1.51732
	 140	   K1	    0	         1 ---> 	 M4M5	    3	         4	     8.9527620E+03	       5.60052e-10	           1.51732
	 141	   K1	    0	         1 ---> 	 M4M4	    1	         1	     8.9534643E+03	       2.74778e-11	           1.51732
	 142	   K1	    0	         1 ---> 	 M4M5	    3	         3	     8.9534954E+03	       7.07895e-10	           1.51732
	 143	   K1	    0	         1 ---> 	 M4M5	    5	         4	     8.9535056E+03	       5.77788e-09	           1.51732
	 144	   K1	    0	         1 ---> 	 M5M5	    3	         2	     8.9537764E+03	       1.14707e-08	           1.51732
	 145	   K1	    0	         1 ---> 	 M5M5	    5	         3	     8.9538438E+03	       1.38392e-08	           1.51732
	 146	   K1	    0	         1 ---> 	 M4M5	    5	         2	     8.9553640E+03	       2.31102e-10	           1.51732
	 147	   K1	    0	         1 ---> 	 M5M5	    7	         2	     8.9556019E+03	       8.20705e-14	           1.51732
	 148	   K1	    0	         1 ---> 	 M4M4	    3	         1	     8.9560968E+03	       4.69482e-13	           1.51732
	 149	   K1	    0	         1 ---> 	 M4M5	    5	         1	     8.9561869E+03	       1.76343e-12	           1.51732
	 150	   K1	    0	         1 ---> 	 M4M5	    7	         1	     8.9563160E+03	       7.53376e-10	           1.51732
	 151	   K1	    0	         1 ---> 	 M5M5	    9	         1	     8.9564712E+03	       1.89046e-09	           1.51732
	 152	   K1	    0	         1 ---> 	 M4N1	    3	         1	     8.9619902E+03	       3.78192e-08	           1.51732
	 153	   K1	    0	         1 ---> 	 M5N1	    5	         1	     8.9622395E+03	       5.72006e-08	           1.51732
	 154	   K1	    2	         1 ---> 	 L1L1	    1	         1	     6.7171621E+03	         0.0309545	           1.52288
	 155	   K1	    2	         1 ---> 	 L1L2	    1	         3	     6.8496012E+03	         0.0187352	           1.52288
	 156	   K1	    2	         1 ---> 	 L1L2	    3	         3	     6.8496491E+03	         0.0439271	           1.52288
	 157	   K1	    2	         1 ---> 	 L1L2	    1	         2	     6.8811424E+03	        0.00420466	           1.52288
	 158	   K1	    2	         1 ---> 	 L1L3	    1	         1	     6.8904685E+03	        0.00514919	           1.52288
	 159	   K1	    2	         1 ---> 	 L1L3	    3	         2	     6.8905551E+03	        0.00760694	           1.52288
	 160	   K1	    2	         1 ---> 	 L1L3	    3	         1	     6.9017778E+03	        0.00256737	           1.52288
	 161	   K1	    2	         1 ---> 	 L1L3	    5	         1	     6.9019859E+03	        0.00981974	           1.52288
	 162	   K1	    2	         1 ---> 	 L2L2	    1	         3	     6.9912295E+03	         0.0126039	           1.52288
	 163	   K1	    2	         1 ---> 	 L2L3	    3	         3	     7.0202995E+03	         0.0666275	           1.52288
	 164	   K1	    2	         1 ---> 	 L2L3	    5	         2	     7.0203316E+03	          0.100253	           1.52288
	 165	   K1	    2	         1 ---> 	 L2L3	    1	         2	     7.0307674E+03	       3.93964e-05	           1.52288
	 166	   K1	    2	         1 ---> 	 L2L3	    3	         2	     7.0309034E+03	       7.27306e-05	           1.52288
	 167	   K1	    2	         1 ---> 	 L3L3	    1	         1	     7.0355989E+03	        0.00404471	           1.52288
	 168	   K1	    2	         1 ---> 	 L3L3	    3	         1	     7.0487654E+03	         0.0104416	           1.52288
	 169	   K1	    2	         1 ---> 	 L3L3	    5	         1	     7.0489600E+03	         0.0145087	           1.52288
	 170	   K1	    2	         1 ---> 	 L1M1	    1	         2	     7.7281328E+03	        0.00763899	           1.52288
	 171	   K1	    2	         1 ---> 	 L1M1	    1	         1	     7.7291767E+03	       1.28146e-06	           1.52288
