# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 135	   K1	    0	         1 ---> 	 M3N1	    3	         1	           8886.42	       7.17269e-10	           1.51732
	 136	   K1	    0	         1 ---> 	 M5M5	    1	         3	           8947.25	       6.99191e-09	           1.51732
	 137	   K1	    0	         1 ---> 	 M4M5	    7	         3	           8952.48	       1.26803e-06	           1.51732
	 138	   K1	    0	         1 ---> 	 M4M5	    9	         2	           8952.48	       1.60286e-06	           1.51732
	 139	   K1	    0	         1 ---> 	 M4M5	    1	         2	           8952.67	       1.12868e-12	           1.51732
	 140	   K1	    0	         1 ---> 	 M4M5	    3	         4	           8952.76	        5.6005e-10	           1.51732
	 141	   K1	    0	         1 ---> 	 M4M4	    1	         1	           8953.46	       2.74777e-11	           1.51732
	 142	   K1	    0	         1 ---> 	 M4M5	    3	         3	            8953.5	       7.07892e-10	           1.51732
	 143	   K1	    0	         1 ---> 	 M4M5	    5	         4	           8953.51	       5.77785e-09	           1.51732
	 144	   K1	    0	         1 ---> 	 M5M5	    3	         2	           8953.78	       1.14707e-08	           1.51732
	 145	   K1	    0	         1 ---> 	 M5M5	    5	         3	           8953.84	       1.38391e-08	           1.51732
	 146	   K1	    0	         1 ---> 	 M4M5	    5	         2	           8955.36	       2.31101e-10	           1.51732
	 147	   K1	    0	         1 ---> 	 M5M5	    7	         2	            8955.6	       8.20702e-14	           1.51732
	 148	   K1	    0	         1 ---> 	 M4M4	    3	         1	            8956.1	       4.69479e-13	           1.51732
	 149	   K1	    0	         1 ---> 	 M4M5	    5	         1	           8956.19	       1.76342e-12	           1.51732
	 150	   K1	    0	         1 ---> 	 M4M5	    7	         1	           8956.32	       7.53373e-10	           1.51732
	 151	   K1	    0	         1 ---> 	 M5M5	    9	         1	           8956.47	       1.89045e-09	           1.51732
	 152	   K1	    0	         1 ---> 	 M4N1	    3	         1	           8961.99	        3.7819e-08	           1.51732
	 153	   K1	    0	         1 ---> 	 M5N1	    5	         1	           8962.24	       5.72004e-08	           1.51732
	 154	   K1	    2	         1 ---> 	 L1L1	    1	         1	           6717.16	         0.0309543	           1.52289
	 155	   K1	    2	         1 ---> 	 L1L2	    1	         3	            6849.6	         0.0187351	           1.52289
	 156	   K1	    2	         1 ---> 	 L1L2	    3	         3	           6849.65	         0.0439269	           1.52289
	 157	   K1	    2	         1 ---> 	 L1L2	    1	         2	           6881.14	        0.00420464	           1.52289
	 158	   K1	    2	         1 ---> 	 L1L3	    1	         1	           6890.47	        0.00514917	           1.52289
	 159	   K1	    2	         1 ---> 	 L1L3	    3	         2	           6890.56	        0.00760691	           1.52289
	 160	   K1	    2	         1 ---> 	 L1L3	    3	         1	           6901.78	        0.00256735	           1.52289
	 161	   K1	    2	         1 ---> 	 L1L3	    5	         1	           6901.99	         0.0098197	           1.52289
	 162	   K1	    2	         1 ---> 	 L2L2	    1	         3	           6991.23	         0.0126038	           1.52289
	 163	   K1	    2	         1 ---> 	 L2L3	    3	         3	            7020.3	         0.0666272	           1.52289
	 164	   K1	    2	         1 ---> 	 L2L3	    5	         2	           7020.33	          0.100253	           1.52289
	 165	   K1	    2	         1 ---> 	 L2L3	    1	         2	           7030.77	       3.93962e-05	           1.52289
	 166	   K1	    2	         1 ---> 	 L2L3	    3	         2	            7030.9	       7.27302e-05	           1.52289
	 167	   K1	    2	         1 ---> 	 L3L3	    1	         1	            7035.6	        0.00404469	           1.52289
	 168	   K1	    2	         1 ---> 	 L3L3	    3	         1	           7048.77	         0.0104416	           1.52289
	 169	   K1	    2	         1 ---> 	 L3L3	    5	         1	           7048.96	         0.0145086	           1.52289
	 170	   K1	    2	         1 ---> 	 L1M1	    1	         2	           7728.13	        0.00763895	           1.52289
	 171	   K1	    2	         1 ---> 	 L1M1	    1	         1	           7729.18	       1.28145e-06	           1.52289
	 172	   K1	    2	         1 ---> 	 L1M1	    3	         1	           7729.37	       3.60337e-05	           1.52289
	 173	   K1	    2	         1 ---> 	 L1M2	    3	         3	            7772.4	        0.00457669	           1.52289
	 174	   K1	    2	         1 ---> 	 L1M2	    1	         3	           7772.47	        0.00124495	           1.52289
	 175	   K1	    2	         1 ---> 	 L1M2	    1	         2	           7773.29	        0.00139155	           1.52289
	 176	   K1	    2	         1 ---> 	 L1M3	    1	         1	           7774.98	        0.00157373	           1.52289
	 177	   K1	    2	         1 ---> 	 L1M3	    3	         2	           7775.27	        0.00159987	           1.52289
	 178	   K1	    2	         1 ---> 	 L1M3	    3	         1	           7775.65	        0.00195687	           1.52289
	 179	   K1	    2	         1 ---> 	 L1M3	    5	         1	            7776.3	        0.00131435	           1.52289
	 180	   K1	    2	         1 ---> 	 L1M5	    5	         3	           7851.54	       2.23336e-05	           1.52289
	 181	   K1	    2	         1 ---> 	 L1M5	    3	         3	           7851.56	       1.20357e-05	           1.52289
	 182	   K1	    2	         1 ---> 	 L1M4	    3	         2	           7853.54	         2.453e-05	           1.52289
	 183	   K1	    2	         1 ---> 	 L1M5	    5	         2	           7853.79	         3.021e-05	           1.52289
	 184	   K1	    2	         1 ---> 	 L1M4	    1	         1	           7854.02	       4.79131e-05	           1.52289
	 185	   K1	    2	         1 ---> 	 L1M4	    3	         1	           7854.11	       9.07275e-05	           1.52289
	 186	   K1	    2	         1 ---> 	 L1M5	    5	         1	           7854.24	       0.000128609	           1.52289
	 187	   K1	    2	         1 ---> 	 L1M5	    7	         1	           7854.38	       0.000166019	           1.52289
	 188	   K1	    2	         1 ---> 	 L1N1	    1	         1	           7863.29	        0.00024697	           1.52289
	 189	   K1	    2	         1 ---> 	 L2M1	    1	         3	           7873.26	       0.000640332	           1.52289
	 190	   K1	    2	         1 ---> 	 L2M1	    3	         3	           7873.44	        0.00284298	           1.52289
	 191	   K1	    2	         1 ---> 	 L2M1	    1	         2	           7874.39	       0.000481745	           1.52289
	 192	   K1	    2	         1 ---> 	 L3M1	    3	         2	           7892.69	         0.0027653	           1.52289
	 193	   K1	    2	         1 ---> 	 L3M1	    1	         1	           7892.76	        0.00198946	           1.52289
	 194	   K1	    2	         1 ---> 	 L3M1	    3	         1	            7894.4	       0.000326724	           1.52289
	 195	   K1	    2	         1 ---> 	 L3M1	    5	         1	           7894.56	       0.000892536	           1.52289
	 196	   K1	    2	         1 ---> 	 L2M2	    1	         6	            7915.5	        0.00204802	           1.52289
	 197	   K1	    2	         1 ---> 	 L2M3	    3	         7	           7921.22	        0.00838889	           1.52289
	 198	   K1	    2	         1 ---> 	 L2M3	    5	         4	           7921.52	         0.0126466	           1.52289
