# Atomic	number	Z=	34	Date:31-10-2019							
											
# Record	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	Rate(1/s)	Width(eV)	Peso
102	K	1	2	--->	K	3	2	2.537300E-01	1.395060E-01	9.182451E-17	6.666667E-02
103	K	1	2	--->	K	5	1	7.627500E-01	2.030590E-04	1.336559E-19	6.666667E-02
104	K	1	2	--->	L1	1	1	1.099697E+04	5.516570E+08	3.631072E-07	6.666667E-02
105	K	1	2	--->	L1	1	2	1.099673E+04	1.498010E+08	9.860081E-08	6.666667E-02
106	K	1	2	--->	L1	1	3	1.099316E+04	1.469720E+05	9.673873E-11	6.666667E-02
107	K	1	2	--->	L1	3	1	1.099721E+04	1.890160E+10	1.244126E-05	6.666667E-02
108	K	1	2	--->	L1	3	2	1.099695E+04	1.784980E+10	1.174895E-05	6.666667E-02
109	K	1	2	--->	L1	3	3	1.099551E+04	1.026870E+06	6.758981E-10	6.666667E-02
110	K	1	2	--->	L1	5	1	1.099738E+04	7.522670E+08	4.951511E-07	6.666667E-02
111	K	1	2	--->	L1	5	2	1.099551E+04	6.307700E+08	4.151803E-07	6.666667E-02
112	K	1	2	--->	L3	1	1	1.122214E+04	3.192850E+13	2.101572E-02	6.666667E-02
113	K	1	2	--->	L3	1	2	1.122130E+04	2.220950E+14	1.461856E-01	6.666667E-02
114	K	1	2	--->	L3	1	3	1.121964E+04	1.198700E+13	7.889987E-03	6.666667E-02
115	K	1	2	--->	L2	1	4	1.118071E+04	3.443560E+13	2.266592E-02	6.666667E-02
116	K	1	2	--->	L2	1	5	1.118041E+04	2.919500E+14	1.921650E-01	6.666667E-02
117	K	1	2	--->	L2	1	6	1.117670E+04	7.082170E+11	4.661569E-04	6.666667E-02
118	K	1	2	--->	L3	3	1	1.122146E+04	4.882660E+13	3.213825E-02	6.666667E-02
119	K	1	2	--->	L3	3	2	1.122134E+04	8.364550E+12	5.505647E-03	6.666667E-02
120	K	1	2	--->	L3	3	3	1.122131E+04	8.130680E+14	5.351711E-01	6.666667E-02
121	K	1	2	--->	L3	3	4	1.121991E+04	2.041510E+13	1.343746E-02	6.666667E-02
122	K	1	2	--->	L3	3	5	1.121768E+04	2.826910E+10	1.860706E-05	6.666667E-02
123	K	1	2	--->	L2	3	6	1.118080E+04	4.477780E+13	2.947328E-02	6.666667E-02
124	K	1	2	--->	L2	3	7	1.118039E+04	2.236050E+14	1.471795E-01	6.666667E-02
125	K	1	2	--->	L2	3	8	1.117879E+04	1.331360E+13	8.763170E-03	6.666667E-02
126	K	1	2	--->	L3	5	1	1.122190E+04	1.038470E+09	6.835334E-07	6.666667E-02
127	K	1	2	--->	L3	5	2	1.122164E+04	4.205010E+10	2.767788E-05	6.666667E-02
128	K	1	2	--->	L3	5	3	1.121998E+04	5.008010E+08	3.296332E-07	6.666667E-02
129	K	1	2	--->	L2	5	4	1.118077E+04	9.097230E+05	5.987905E-10	6.666667E-02
130	K	1	2	--->	L2	5	5	1.117914E+04	1.283040E+05	8.445122E-11	6.666667E-02
131	K	1	2	--->	L3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
132	K	1	2	--->	L3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
133	K	1	2	--->	M1	1	1	1.242280E+04	2.098800E+08	1.381455E-07	6.666667E-02
134	K	1	2	--->	M1	1	2	1.242204E+04	2.637940E+07	1.736324E-08	6.666667E-02
135	K	1	2	--->	M1	1	3	1.241885E+04	4.007250E+04	2.637620E-11	6.666667E-02
136	K	1	2	--->	M1	3	1	1.242295E+04	2.189470E+08	1.441135E-07	6.666667E-02
137	K	1	2	--->	M1	3	2	1.242234E+04	1.121640E+09	7.382768E-07	6.666667E-02
138	K	1	2	--->	M1	3	3	1.242117E+04	2.379300E+06	1.566084E-09	6.666667E-02
139	K	1	2	--->	M1	5	1	1.242321E+04	2.264190E+07	1.490317E-08	6.666667E-02
140	K	1	2	--->	M1	5	2	1.242118E+04	2.042300E+07	1.344266E-08	6.666667E-02
141	K	1	2	--->	M3	1	1	1.249341E+04	9.802320E+12	6.452004E-03	6.666667E-02
142	K	1	2	--->	M3	1	2	1.249174E+04	2.178540E+13	1.433941E-02	6.666667E-02
143	K	1	2	--->	M3	1	3	1.248957E+04	4.055360E+11	2.669286E-04	6.666667E-02
144	K	1	2	--->	M2	1	4	1.248669E+04	2.961480E+12	1.949281E-03	6.666667E-02
145	K	1	2	--->	M2	1	5	1.248595E+04	5.045310E+13	3.320883E-02	6.666667E-02
146	K	1	2	--->	M2	1	6	1.248244E+04	5.275330E+11	3.472285E-04	6.666667E-02
147	K	1	2	--->	M3	3	1	1.249209E+04	1.958420E+13	1.289055E-02	6.666667E-02
148	K	1	2	--->	M3	3	2	1.249198E+04	8.541740E+13	5.622275E-02	6.666667E-02
149	K	1	2	--->	M3	3	3	1.249175E+04	5.055820E+12	3.327801E-03	6.666667E-02
150	K	1	2	--->	M3	3	4	1.249013E+04	1.074850E+13	7.074791E-03	6.666667E-02
151	K	1	2	--->	M3	3	5	1.248834E+04	5.024880E+11	3.307436E-04	6.666667E-02
152	K	1	2	--->	M2	3	6	1.248658E+04	2.162490E+13	1.423377E-02	6.666667E-02
153	K	1	2	--->	M2	3	7	1.248589E+04	1.902760E+13	1.252419E-02	6.666667E-02
154	K	1	2	--->	M2	3	8	1.248386E+04	1.300230E+13	8.558269E-03	6.666667E-02
155	K	1	2	--->	M3	5	1	1.249262E+04	7.951860E+08	5.234009E-07	6.666667E-02
156	K	1	2	--->	M3	5	2	1.249246E+04	6.682440E+09	4.398462E-06	6.666667E-02
157	K	1	2	--->	M3	5	3	1.249065E+04	2.121780E+08	1.396581E-07	6.666667E-02
158	K	1	2	--->	M2	5	4	1.248634E+04	4.926170E+07	3.242464E-08	6.666667E-02
159	K	1	2	--->	M2	5	5	1.248497E+04	6.627200E+06	4.362102E-09	6.666667E-02
160	K	1	2	--->	M3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
161	K	1	2	--->	M3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
162	K	1	2	--->	M5	1	1	1.260333E+04	4.577150E+03	3.012735E-12	6.666667E-02
163	K	1	2	--->	M4	1	2	1.260241E+04	2.501890E+04	1.646774E-11	6.666667E-02
164	K	1	2	--->	M4	1	3	1.260158E+04	3.147910E+05	2.071992E-10	6.666667E-02
165	K	1	2	--->	M5	1	4	1.260021E+04	7.992680E+02	5.260877E-13	6.666667E-02
166	K	1	2	--->	M4	1	5	1.259936E+04	1.851160E+02	1.218456E-13	6.666667E-02
167	K	1	2	--->	M5	3	1	1.260316E+04	4.395200E+10	2.892973E-05	6.666667E-02
168	K	1	2	--->	M4	3	2	1.260233E+04	4.127720E+10	2.716915E-05	6.666667E-02
169	K	1	2	--->	M4	3	3	1.260229E+04	1.222910E+10	8.049340E-06	6.666667E-02
170	K	1	2	--->	M4	3	4	1.260185E+04	2.152700E+06	1.416933E-09	6.666667E-02
171	K	1	2	--->	M4	3	5	1.260126E+04	1.006060E+11	6.622007E-05	6.666667E-02
172	K	1	2	--->	M5	3	6	1.260085E+04	8.119280E+10	5.344207E-05	6.666667E-02
173	K	1	2	--->	M4	3	7	1.260003E+04	1.147870E+09	7.555417E-07	6.666667E-02
174	K	1	2	--->	M4	3	8	1.259778E+04	4.439360E+08	2.922040E-07	6.666667E-02
175	K	1	2	--->	M5	5	1	1.260300E+04	1.120420E+09	7.374738E-07	6.666667E-02
176	K	1	2	--->	M5	5	2	1.260264E+04	1.261510E+11	8.303409E-05	6.666667E-02
177	K	1	2	--->	M5	5	3	1.260233E+04	3.554070E+09	2.339331E-06	6.666667E-02
178	K	1	2	--->	M4	5	4	1.260197E+04	1.515630E+11	9.976058E-05	6.666667E-02
179	K	1	2	--->	M5	5	5	1.260152E+04	1.855850E+10	1.221543E-05	6.666667E-02
180	K	1	2	--->	M4	5	6	1.260117E+04	4.297300E+10	2.828534E-05	6.666667E-02
181	K	1	2	--->	M4	5	7	1.260057E+04	7.329360E+10	4.824272E-05	6.666667E-02
182	K	1	2	--->	M5	5	8	1.259855E+04	3.615340E+08	2.379660E-07	6.666667E-02
183	K	1	2	--->	M5	7	1	1.260303E+04	7.211740E+06	4.746853E-09	6.666667E-02
184	K	1	2	--->	M5	7	2	1.260264E+04	1.106500E+07	7.283115E-09	6.666667E-02
185	K	1	2	--->	M4	7	3	1.260211E+04	2.962040E+06	1.949650E-09	6.666667E-02
186	K	1	2	--->	M5	7	4	1.260133E+04	7.266970E+05	4.783206E-10	6.666667E-02
187	K	1	2	--->	M4	7	5	1.260018E+04	2.678190E+01	1.762817E-14	6.666667E-02
188	K	1	2	--->	N1	1	1	1.264500E+04	2.915540E+07	1.919043E-08	6.666667E-02
189	K	1	2	--->	N1	1	2	1.263875E+04	3.864590E+05	2.543719E-10	6.666667E-02
190	K	1	2	--->	N1	1	3	1.263667E+04	2.218250E+06	1.460079E-09	6.666667E-02
191	K	1	2	--->	N1	3	1	1.264509E+04	2.286350E+07	1.504903E-08	6.666667E-02
192	K	1	2	--->	N1	3	2	1.264096E+04	1.732900E+06	1.140615E-09	6.666667E-02
193	K	1	2	--->	N1	3	3	1.263696E+04	6.066440E+07	3.993003E-08	6.666667E-02
194	K	1	2	--->	N1	5	1	1.264531E+04	1.048220E+06	6.899509E-10	6.666667E-02
195	K	1	2	--->	N1	5	2	1.264089E+04	1.488200E+06	9.795510E-10	6.666667E-02
196	K	1	2	--->	N2	1	1	1.265267E+04	8.309660E+12	5.469517E-03	6.666667E-02
197	K	1	2	--->	N2	3	1	1.265632E+04	1.065050E+11	7.010286E-05	6.666667E-02
198	K	1	2	--->	N2	3	2	1.265416E+04	1.463380E+13	9.632142E-03	6.666667E-02
199	K	1	2	--->	N2	3	3	1.265258E+04	5.759310E+12	3.790847E-03	6.666667E-02
200	K	1	2	--->	N2	5	1	1.265410E+04	1.724390E+08	1.135014E-07	6.666667E-02
201	K	1	3	--->	K	1	1	3.858330E+00	5.215460E+00	3.432878E-15	6.666667E-02
202	K	1	3	--->	K	1	2	3.546300E+00	4.205790E+00	2.768301E-15	6.666667E-02
203	K	1	3	--->	K	3	1	4.072380E+00	5.192230E+00	3.417588E-15	6.666667E-02
204	K	1	3	--->	K	3	2	3.800020E+00	1.446520E+01	9.521167E-15	6.666667E-02
