#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	61	K1K1	0	1	--->	K1N2	2	1	13139.05	0.002756273	0.5980881	1.443976	6.7	4.021753	2.702596	6.72435
	62	K1K1	0	1	--->	K1N2	2	2	13136.96	0.002728508	0.5980881	1.429203	6.7	4.154458	2.791773	6.946231
	63	K1K1	0	1	--->	K1N2	2	3	13135.18	0.003101791	0.5980881	1.624511	6.7	4.393528	2.952427	7.345955
	64	K1K1	0	1	--->	K1N2	2	4	13134.84	0.000141492	0.5980881	0.07410219	6.7	4.403013	2.958801	7.361814
	65	K1K1	0	2	--->	K1K1	2	1	4.3268	1.37771E-14	0.5980881	2.37683E-15	6.7	6.097987	4.097814	10.1958
	66	K1K1	0	2	--->	K1L1	2	1	11401.99	2.09615E-10	0.5980881	9.52965E-08	6.7	4.5998	3.09104	7.69084
	67	K1K1	0	2	--->	K1L1	2	2	11401.77	1.52184E-10	0.5980881	6.91854E-08	6.7	4.364678	2.93304	7.297718
	68	K1K1	0	2	--->	K1L1	2	3	11401.3	3.64097E-12	0.5980881	1.65518E-09	6.7	4.469093	3.003206	7.4723
	69	K1K1	0	2	--->	K1L1	2	4	11400.09	1.04412E-13	0.5980881	4.74606E-11	6.7	4.46715	3.0019	7.46905
	70	K1K1	0	2	--->	K1L1	2	5	11397.44	1.75062E-06	0.5980881	0.000795559	6.7	4.470735	3.00431	7.475045
	71	K1K1	0	2	--->	K1L1	2	6	11361.66	1.81822E-12	0.5980881	8.23688E-10	6.7	4.649082	3.124158	7.77324
	72	K1K1	0	2	--->	K1L2	2	9	11554.76	2.17251E-06	0.5980881	0.001000915	6.7	4.038902	2.71412	6.753022
	73	K1K1	0	2	--->	K1L2	2	10	11547.84	1.72218E-05	0.5980881	0.007929641	6.7	4.514922	3.034003	7.548924
	74	K1K1	0	2	--->	K1L2	2	11	11547.76	0.000198453	0.5980881	0.09137563	6.7	4.495878	3.021205	7.517083
	75	K1K1	0	2	--->	K1L2	2	12	11547.5	0.001120381	0.5980881	0.515855	6.7	4.502198	3.025453	7.527651
	76	K1K1	0	2	--->	K1L2	2	13	11545.67	6.64772E-05	0.5980881	0.03060312	6.7	4.506002	3.028009	7.534011
	77	K1K1	0	2	--->	K1L2	2	14	11543.35	0.5144549	0.5980881	236.7843	6.7	4.507228	3.028833	7.536061
	78	K1K1	0	2	--->	K1L3	2	1	11604.28	1.70534E-05	0.5980881	0.007890469	6.7	4.055186	2.725063	6.78025
	79	K1K1	0	2	--->	K1L3	2	2	11603.52	1.36916E-05	0.5980881	0.006334572	6.7	4.055198	2.725071	6.780269
	80	K1K1	0	2	--->	K1L3	2	3	11602.12	1.45118E-05	0.5980881	0.00671326	6.7	4.033735	2.710648	6.744382
	81	K1K1	0	2	--->	K1L3	2	4	11590.11	0.00064739	0.5980881	0.2991764	6.7	4.366318	2.934142	7.30046
	82	K1K1	0	2	--->	K1L3	2	5	11589.65	6.94753E-06	0.5980881	0.003210513	6.7	4.353713	2.925671	7.279384
	83	K1K1	0	2	--->	K1L3	2	6	11589.45	4.15056E-06	0.5980881	0.001917976	6.7	4.355585	2.926929	7.282514
	84	K1K1	0	2	--->	K1L3	2	7	11587.96	0.000235167	0.5980881	0.1086567	6.7	4.349556	2.922878	7.272433
	85	K1K1	0	2	--->	K1L3	2	8	11585.41	0.3441944	0.5980881	158.9971	6.7	4.360869	2.93048	7.291349
	86	K1K1	0	2	--->	K1M1	2	1	12890.33	1.41973E-10	0.5980881	7.297E-08	6.7	4.417744	2.9687	7.386444
	87	K1K1	0	2	--->	K1M1	2	2	12889.74	2.83613E-12	0.5980881	1.45762E-09	6.7	4.430752	2.977441	7.408193
	88	K1K1	0	2	--->	K1M1	2	3	12889.12	6.98291E-11	0.5980881	3.58867E-08	6.7	4.429062	2.976305	7.405367
	89	K1K1	0	2	--->	K1M1	2	4	12888.27	1.0923E-12	0.5980881	5.61322E-10	6.7	4.41575	2.96736	7.38311
	90	K1K1	0	2	--->	K1M1	2	5	12885.65	3.89127E-07	0.5980881	0.000199927	6.7	4.422912	2.972173	7.395085
	91	K1K1	0	2	--->	K1M1	2	6	12883.98	6.53874E-11	0.5980881	3.35907E-08	6.7	4.478893	3.009791	7.488684
	92	K1K1	0	2	--->	K1M2	2	9	12951.46	0.004871001	0.5980881	2.515422	6.7	4.074979	2.738364	6.813343
	93	K1K1	0	2	--->	K1M2	2	10	12950.6	7.79177E-05	0.5980881	0.04023458	6.7	4.077336	2.739947	6.817283
	94	K1K1	0	2	--->	K1M2	2	11	12950.02	0.002778452	0.5980881	1.434654	6.7	3.93088	2.64153	6.57241
	95	K1K1	0	2	--->	K1M2	2	12	12949.86	0.001211838	0.5980881	0.6257252	6.7	4.116241	2.766092	6.882333
	96	K1K1	0	2	--->	K1M2	2	13	12947.44	0.000208944	0.5980881	0.1078668	6.7	4.277654	2.87456	7.152214
	97	K1K1	0	2	--->	K1M2	2	14	12945.95	0.07405477	0.5980881	38.22617	6.7	4.177407	2.807194	6.984601
	98	K1K1	0	2	--->	K1M3	2	1	12959.47	1.65675E-05	0.5980881	0.008560887	6.7	4.309087	2.895683	7.20477
	99	K1K1	0	2	--->	K1M3	2	2	12957.76	9.45761E-05	0.5980881	0.04886359	6.7	4.240923	2.849877	7.090801
	100	K1K1	0	2	--->	K1M3	2	3	12957.11	0.000478452	0.5980881	0.2471842	6.7	4.265519	2.866405	7.131924
	101	K1K1	0	2	--->	K1M3	2	4	12956.46	0.000219026	0.5980881	0.1131501	6.7	4.124795	2.77184	6.896635
	102	K1K1	0	2	--->	K1M3	2	5	12956.15	0.000600466	0.5980881	0.3101974	6.7	4.167364	2.800446	6.967809
