# Atomic number Z= 29  Date:21-08-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	  88	   K1	    0	[1S0]#1LS1 ---> 	 M1M2	    1	[2P1/2]#1LS1	     8.7555113E+03	       3.36019e-05	            12.755
	  89	   K1	    0	[1S0]#1LS1 ---> 	 M1M2	    1	[4P1/2]#1LS1	     8.7564072E+03	        9.6597e-06	            10.695
	  90	   K1	    0	[1S0]#1LS1 ---> 	 M1M2	    3	[4P3/2]#1LS1	     8.7565953E+03	       4.04914e-05	           11.4411
	  91	   K1	    0	[1S0]#1LS1 ---> 	 M1M3	    3	[2P3/2]#1LS1	     8.7578963E+03	        4.6749e-05	           12.0981
	  92	   K1	    0	[1S0]#1LS1 ---> 	 M1M3	    5	[4P5/2]#1LS1	     8.7583293E+03	       4.08642e-08	            8.7582
	  93	   K1	    0	[1S0]#1LS1 ---> 	 M2M2	    1	[2S1/2]#1LS1	     8.7905151E+03	       7.94852e-05	           1.64952
	  94	   K1	    0	[1S0]#1LS1 ---> 	 M2M3	    3	[2D3/2]#1LS1	     8.7968896E+03	       0.000318575	           3.13811
	  95	   K1	    0	[1S0]#1LS1 ---> 	 M2M3	    5	[2D5/2]#1LS1	     8.7969302E+03	       0.000484424	           2.67386
	  96	   K1	    0	[1S0]#1LS1 ---> 	 M2M3	    1	[2P1/2]#1LS1	     8.7997972E+03	       1.55587e-06	           4.48912
	  97	   K1	    0	[1S0]#1LS1 ---> 	 M2M3	    3	[4P3/2]#1LS1	     8.8004472E+03	       2.70254e-07	           7.56106
	  98	   K1	    0	[1S0]#1LS1 ---> 	 M2M3	    1	[4P1/2]#1LS1	     8.8005070E+03	       3.61914e-06	           9.47534
	  99	   K1	    0	[1S0]#1LS1 ---> 	 M3M3	    3	[2P3/2]#1LS1	     8.8020895E+03	       1.64454e-05	           9.57152
	 100	   K1	    0	[1S0]#1LS1 ---> 	 M3M3	    5	[4P5/2]#1LS1	     8.8026687E+03	       2.77018e-05	           10.2936
	 101	   K1	    0	[1S0]#1LS1 ---> 	 M1M5	    5	[2D5/2]#2LS1	     8.8250947E+03	       2.11161e-07	           2.35408
	 102	   K1	    0	[1S0]#1LS1 ---> 	 M1M5	    3	[2D3/2]#2LS1	     8.8250995E+03	       2.27325e-07	           3.08737
	 103	   K1	    0	[1S0]#1LS1 ---> 	 M1M4	    3	[2D3/2]#1LS1	     8.8301030E+03	       8.02308e-06	           2.97478
	 104	   K1	    0	[1S0]#1LS1 ---> 	 M1M5	    5	[2D5/2]#1LS1	     8.8302914E+03	       1.10714e-05	            3.6102
	 105	   K1	    0	[1S0]#1LS1 ---> 	 M1M4	    1	[4D1/2]#1LS1	     8.8306575E+03	       8.01811e-10	           5.02079
	 106	   K1	    0	[1S0]#1LS1 ---> 	 M1M4	    3	[4D3/2]#1LS1	     8.8307187E+03	       4.88189e-09	           4.19643
	 107	   K1	    0	[1S0]#1LS1 ---> 	 M1M5	    5	[4D5/2]#1LS1	     8.8308147E+03	       2.19545e-08	            4.8351
	 108	   K1	    0	[1S0]#1LS1 ---> 	 M1M5	    7	[4D7/2]#1LS1	     8.8309379E+03	       6.93971e-10	           27.6659
	 109	   K1	    0	[1S0]#1LS1 ---> 	 M1N1	    1	[2S1/2]#1LS1	     8.8376039E+03	       7.40565e-07	           3.84238
	 110	   K1	    0	[1S0]#1LS1 ---> 	 M2M5	    5	[2D5/2]#2LS1	     8.8753119E+03	       1.51463e-07	           5.08089
	 111	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    3	[2P3/2]#2LS1	     8.8756736E+03	       4.71564e-08	           5.02994
	 112	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    3	[4D3/2]#1LS1	     8.8756736E+03	       4.71561e-08	           5.02994
	 113	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    1	[2P1/2]#2LS1	     8.8758206E+03	       3.88079e-08	            5.0012
	 114	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    1	[4D1/2]#1LS1	     8.8758206E+03	       3.88079e-08	            5.0012
	 115	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    5	[4D5/2]#1LS1	     8.8762486E+03	       5.38545e-07	           5.16802
	 116	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    5	[2D5/2]#1LS1	     8.8762727E+03	       6.08187e-07	            5.1785
	 117	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    7	[4D7/2]#1LS1	     8.8768401E+03	       1.19389e-07	            5.1615
	 118	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    7	[2F7/2]#2LS1	     8.8768401E+03	       1.19389e-07	            5.1615
	 119	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    3	[2P3/2]#1LS1	     8.8768855E+03	       8.23992e-07	           4.45529
	 120	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    1	[2P1/2]#1LS1	     8.8772416E+03	       5.69584e-07	           4.09199
	 121	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    5	[4P5/2]#1LS1	     8.8774627E+03	       8.81417e-08	           4.13353
	 122	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    5	[2F5/2]#2LS1	     8.8774627E+03	       8.81417e-08	           4.13353
	 123	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    3	[4P3/2]#1LS1	     8.8778711E+03	       3.11885e-08	           3.82608
	 124	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    1	[4P1/2]#1LS1	     8.8779910E+03	       3.40179e-09	           3.69364
	 125	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    5	[2F5/2]#1LS1	     8.8805279E+03	       1.12255e-05	           2.74396
	 126	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    3	[2D3/2]#2LS1	     8.8808269E+03	       2.24387e-08	           2.68551
	 127	   K1	    0	[1S0]#1LS1 ---> 	 M2M4	    3	[4F3/2]#1LS1	     8.8808269E+03	       2.24387e-08	           2.68551
	 128	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    7	[2F7/2]#1LS1	     8.8823165E+03	       1.32358e-05	           2.46859
	 129	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    3	[2D3/2]#1LS1	     8.8825601E+03	       3.97918e-09	           2.67964
	 130	   K1	    0	[1S0]#1LS1 ---> 	 M3M4	    5	[4F5/2]#1LS1	     8.8826004E+03	       1.60341e-07	           2.52275
	 131	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    7	[4F7/2]#1LS1	     8.8833150E+03	       1.04922e-05	           2.36451
	 132	   K1	    0	[1S0]#1LS1 ---> 	 M3M5	    9	[4F9/2]#1LS1	     8.8837892E+03	       1.52112e-09	           2.27248
	 133	   K1	    0	[1S0]#1LS1 ---> 	 M2N1	    1	[2P1/2]#1LS1	     8.8839063E+03	       1.74463e-08	            4.2242
	 134	   K1	    0	[1S0]#1LS1 ---> 	 M3N1	    3	[2P3/2]#1LS1	     8.8864198E+03	       8.04547e-10	           4.03608
	 135	   K1	    0	[1S0]#1LS1 ---> 	 M5M5	    1	[2S1/2]#1LS1	     8.9472512E+03	       7.84269e-09	           1.35273
	 136	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    7	[2G7/2]#1LS1	     8.9524762E+03	       1.42232e-06	           1.94536
	 137	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    9	[2G9/2]#1LS1	     8.9524801E+03	        1.7979e-06	            28.454
	 138	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    1	[2P1/2]#1LS1	     8.9526713E+03	       1.26602e-12	           1.35272
	 139	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    3	[2P3/2]#1LS1	     8.9527620E+03	       6.28197e-10	           1.35273
	 140	   K1	    0	[1S0]#1LS1 ---> 	 M4M4	    1	[4P1/2]#1LS1	     8.9534643E+03	       3.08212e-11	           1.35272
	 141	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    3	[4P3/2]#1LS1	     8.9534954E+03	       7.94028e-10	           1.35523
	 142	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    5	[4P5/2]#1LS1	     8.9535056E+03	        6.4809e-09	           1.35499
	 143	   K1	    0	[1S0]#1LS1 ---> 	 M5M5	    3	[2D3/2]#1LS1	     8.9537764E+03	       1.28664e-08	            1.3529
	 144	   K1	    0	[1S0]#1LS1 ---> 	 M5M5	    5	[2D5/2]#1LS1	     8.9538438E+03	        1.5523e-08	           1.35586
	 145	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    5	[2F5/2]#1LS1	     8.9553640E+03	       2.59221e-10	            1.3529
	 146	   K1	    0	[1S0]#1LS1 ---> 	 M5M5	    7	[2F7/2]#1LS1	     8.9556019E+03	       9.20565e-14	           57.3084
	 147	   K1	    0	[1S0]#1LS1 ---> 	 M4M4	    3	[4F3/2]#1LS1	     8.9560968E+03	       5.26606e-13	           1.35275
	 148	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    5	[4F5/2]#1LS1	     8.9561869E+03	       1.97799e-12	           1.35334
	 149	   K1	    0	[1S0]#1LS1 ---> 	 M4M5	    7	[4F7/2]#1LS1	     8.9563160E+03	       8.45044e-10	           2664.59
	 150	   K1	    0	[1S0]#1LS1 ---> 	 M5M5	    9	[4F9/2]#1LS1	     8.9564712E+03	       2.12048e-09	           29495.4
	 151	   K1	    0	[1S0]#1LS1 ---> 	 M4N1	    3	[2D3/2]#1LS1	     8.9619902E+03	       4.24208e-08	           1.35272
	 152	   K1	    0	[1S0]#1LS1 ---> 	 M5N1	    5	[2D5/2]#1LS1	     8.9622395E+03	       6.41605e-08	           1.35286
	 153	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    9	[4F9/2]#1LS1	     4.0403505E+05	       2.00118e-15	           1.35272
	 154	   K1	    2	[3S1]#1LS1 ---> 	 L1L1	    1	[2S1/2]#1LS1	     6.7171621E+03	         0.0348678	           8.67587
	 155	   K1	    2	[3S1]#1LS1 ---> 	 L1L2	    1	[2P1/2]#2LS1	     6.8811424E+03	        0.00473622	           17.5001
	 156	   K1	    2	[3S1]#1LS1 ---> 	 L1L2	    1	[4P1/2]#1LS1	     6.8811424E+03	        0.00473622	           17.5001
	 157	   K1	    2	[3S1]#1LS1 ---> 	 L1L3	    1	[2P1/2]#1LS1	     6.8904685E+03	        0.00580017	           16.6129
	 158	   K1	    2	[3S1]#1LS1 ---> 	 L1L3	    3	[2P3/2]#2LS1	     6.8905551E+03	        0.00856863	           15.3879
	 159	   K1	    2	[3S1]#1LS1 ---> 	 L1L3	    3	[4P3/2]#1LS1	     6.8905551E+03	        0.00856863	           15.3879
	 160	   K1	    2	[3S1]#1LS1 ---> 	 L1L3	    3	[2P3/2]#1LS1	     6.9017778E+03	        0.00289194	           18.5024
	 161	   K1	    2	[3S1]#1LS1 ---> 	 L1L3	    5	[4P5/2]#1LS1	     6.9019859E+03	         0.0110612	           18.8538
	 162	   K1	    2	[3S1]#1LS1 ---> 	 L2L2	    1	[2S1/2]#1LS1	     6.9912295E+03	         0.0141973	           2.18549
	 163	   K1	    2	[3S1]#1LS1 ---> 	 L2L3	    3	[2D3/2]#1LS1	     7.0202995E+03	         0.0750508	           2.39348
	 164	   K1	    2	[3S1]#1LS1 ---> 	 L2L3	    5	[2D5/2]#1LS1	     7.0203316E+03	          0.112927	           2.16435
	 165	   K1	    2	[3S1]#1LS1 ---> 	 L2L3	    1	[2P1/2]#1LS1	     7.0307674E+03	        4.4377e-05	           2.57891
	 166	   K1	    2	[3S1]#1LS1 ---> 	 L2L3	    3	[4P3/2]#1LS1	     7.0309034E+03	       8.19253e-05	           3.34651
	 167	   K1	    2	[3S1]#1LS1 ---> 	 L3L3	    1	[4P1/2]#1LS1	     7.0355989E+03	        0.00455605	           3.17503
	 168	   K1	    2	[3S1]#1LS1 ---> 	 L3L3	    3	[2P3/2]#1LS1	     7.0487654E+03	         0.0117617	           3.54433
	 169	   K1	    2	[3S1]#1LS1 ---> 	 L3L3	    5	[4P5/2]#1LS1	     7.0489600E+03	         0.0163429	           3.26962
	 170	   K1	    2	[3S1]#1LS1 ---> 	 L1M1	    1	[2S1/2]#2LS1	     7.7281328E+03	        0.00860473	            44.025
	 171	   K1	    2	[3S1]#1LS1 ---> 	 L1M1	    1	[2S1/2]#1LS1	     7.7291767E+03	       1.44346e-06	           8.51567
	 172	   K1	    2	[3S1]#1LS1 ---> 	 L1M1	    3	[4S3/2]#1LS1	     7.7293732E+03	       4.05894e-05	           6.66821
	 173	   K1	    2	[3S1]#1LS1 ---> 	 L1M2	    1	[4P1/2]#1LS1	     7.7733071E+03	         0.0015471	           6.24322
	 174	   K1	    2	[3S1]#1LS1 ---> 	 L1M2	    1	[2P1/2]#2LS1	     7.7733275E+03	       0.000843816	           5.79559
	 175	   K1	    2	[3S1]#1LS1 ---> 	 L1M3	    1	[2P1/2]#1LS1	     7.7749899E+03	        0.00181304	           6.66435
	 176	   K1	    2	[3S1]#1LS1 ---> 	 L1M3	    3	[2P3/2]#2LS1	     7.7752656E+03	        0.00180218	           8.50744
	 177	   K1	    2	[3S1]#1LS1 ---> 	 L1M3	    3	[4P3/2]#1LS1	     7.7756495E+03	        0.00220428	           6.04948
	 178	   K1	    2	[3S1]#1LS1 ---> 	 L1M3	    3	[2P3/2]#1LS1	     7.7758503E+03	       0.000603215	           6.54656
	 179	   K1	    2	[3S1]#1LS1 ---> 	 L1M3	    5	[4P5/2]#1LS1	     7.7762992E+03	        0.00148052	           5.24284
	 180	   K1	    2	[3S1]#1LS1 ---> 	 L1M5	    5	[2D5/2]#2LS1	     7.8515446E+03	       2.51572e-05	           3.16067
	 181	   K1	    2	[3S1]#1LS1 ---> 	 L1M5	    3	[2D3/2]#2LS1	     7.8515637E+03	       1.35573e-05	           4.78103
	 182	   K1	    2	[3S1]#1LS1 ---> 	 L1M4	    3	[2D3/2]#1LS1	     7.8535397E+03	       2.76313e-05	           7.27736
	 183	   K1	    2	[3S1]#1LS1 ---> 	 L1M5	    5	[2D5/2]#1LS1	     7.8537869E+03	       3.40294e-05	                 9
	 184	   K1	    2	[3S1]#1LS1 ---> 	 L1M4	    1	[4D1/2]#1LS1	     7.8540250E+03	       5.39707e-05	           9.41376
	 185	   K1	    2	[3S1]#1LS1 ---> 	 L1M4	    3	[4D3/2]#1LS1	     7.8541122E+03	       0.000102198	            7.6069
	 186	   K1	    2	[3S1]#1LS1 ---> 	 L1M5	    5	[4D5/2]#1LS1	     7.8542367E+03	       0.000144869	            9.1813
	 187	   K1	    2	[3S1]#1LS1 ---> 	 L1M5	    7	[4D7/2]#1LS1	     7.8543804E+03	       0.000187008	           9.14602
