#	Atomic	number	Z=	22	Date:24-03-2020											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	118	K	1	2	--->	K	5	2	1.9696300E+00	4.0519050E-16	2.1474480E-01	1.9336119E-18	2.2000000E+00	3.8350330E-01	1.4076880E+00	1.7911920E+00
	119	K	1	2	--->	K	5	3	3.3971000E-01	9.6366680E-23	2.1474480E-01	4.5987195E-25	2.2000000E+00	3.9200150E-01	1.4081550E+00	1.8001560E+00
	120	K	1	2	--->	K	7	1	1.9907300E+00	3.0874270E-28	2.1474480E-01	1.4733530E-30	2.2000000E+00	3.8716300E-01	1.4082020E+00	1.7953650E+00
	121	K	1	2	--->	K	7	2	1.9165900E+00	3.9984790E-29	2.1474480E-01	1.9081170E-31	2.2000000E+00	3.8609000E-01	1.4075660E+00	1.7936560E+00
	122	K	1	2	--->	L1	1	1	4.4025550E+03	3.9681750E-08	2.1474480E-01	1.8936554E-10	2.2000000E+00	1.9353580E-01	4.8050810E+00	4.9986170E+00
	123	K	1	2	--->	L1	1	2	4.4005250E+03	1.6531900E-08	2.1474480E-01	7.8891996E-11	2.2000000E+00	1.9347210E-01	4.8691450E+00	5.0626180E+00
	124	K	1	2	--->	L1	1	3	4.3975700E+03	1.1871180E-12	2.1474480E-01	5.6650514E-15	2.2000000E+00	1.9350890E-01	4.9030330E+00	5.0965420E+00
	125	K	1	2	--->	L1	3	1	4.4046010E+03	1.1493330E-05	2.1474480E-01	5.4847397E-08	2.2000000E+00	1.9353110E-01	4.6540560E+00	4.8475870E+00
	126	K	1	2	--->	L1	3	2	4.4025420E+03	1.8672930E-06	2.1474480E-01	8.9109224E-09	2.2000000E+00	1.9353430E-01	4.7341250E+00	4.9276590E+00
	127	K	1	2	--->	L1	3	3	4.4021730E+03	2.1297080E-07	2.1474480E-01	1.0163197E-09	2.2000000E+00	1.9347880E-01	4.8360250E+00	5.0295040E+00
