9033.515348288076; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9033.815426997246; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9034.115505706415; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9034.415584415585; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9034.715663124754; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9035.015741833924; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9035.315820543094; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9035.615899252263; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9035.915977961433; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9036.216056670602; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9036.516135379772; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9036.816214088942; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9037.116292798111; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9037.416371507281; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9037.71645021645;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9038.01652892562;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9038.31660763479;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9038.61668634396;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9038.916765053129; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9039.216843762299; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9039.516922471468; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
