# Atomic number Z= 29  Date:24-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	139	   K1	    0	     1		 ---> 	 M4M5	    1	     2		8.9526713E+03     	1.0407449E+04  	4.30417506270675e-11
	140	   K1	    0	     1		 ---> 	 M4M5	    3	     4		8.9527620E+03     	5.1641501E+06  	2.1357208745865166e-08
	141	   K1	    0	     1		 ---> 	 M4M4	    1	     1		8.9534643E+03     	2.5336816E+05  	1.0478465145069593e-09
	142	   K1	    0	     1		 ---> 	 M4M5	    3	     3		8.9534954E+03     	6.5273775E+06  	2.6995064266347236e-08
	143	   K1	    0	     1		 ---> 	 M4M5	    5	     4		8.9535056E+03     	5.3276848E+07  	2.2033533921830218e-07
	144	   K1	    0	     1		 ---> 	 M5M5	    3	     2		8.9537764E+03     	1.0576959E+08  	4.3742787658216457e-07
	145	   K1	    0	     1		 ---> 	 M5M5	    5	     3		8.9538438E+03     	1.2760852E+08  	5.277464338983698e-07
	146	   K1	    0	     1		 ---> 	 M4M5	    5	     2		8.9553640E+03     	2.1309495E+06  	8.81289900895735e-09
	147	   K1	    0	     1		 ---> 	 M5M5	    7	     2		8.9556019E+03     	7.5675862E+02  	3.129702178403539e-12
	148	   K1	    0	     1		 ---> 	 M4M4	    3	     1		8.9560968E+03     	4.3290109E+03  	1.7903350534761887e-11
	149	   K1	    0	     1		 ---> 	 M4M5	    5	     1		8.9561869E+03     	1.6260282E+04  	6.724712299525026e-11
	150	   K1	    0	     1		 ---> 	 M4M5	    7	     1		8.9563160E+03     	6.9467572E+06  	2.872947934399541e-08
	151	   K1	    0	     1		 ---> 	 M5M5	    9	     1		8.9564712E+03     	1.7431619E+07  	7.209138358727982e-08
	152	   K1	    0	     1		 ---> 	 M4N1	    3	     1		8.9619902E+03     	3.4872414E+08  	1.4422071606133813e-06
	153	   K1	    0	     1		 ---> 	 M5N1	    5	     1		8.9622395E+03     	5.2743735E+08  	2.1813056100588455e-06
	154	   K1	    2	     1		 ---> 	 L1L1	    1	     1		6.7171621E+03     	9.5490847E+13  	0.39491841120157845
	155	   K1	    2	     1		 ---> 	 L1L2	    1	     3		6.8496012E+03     	5.7795745E+13  	0.2390239955627535
