"8024.46	","	0.682906"
"8024.47	","	0.708735"
"8024.48	","	0.713571"
"8024.49	","	0.697169"
"8024.5	","	0.695321"
"8024.51	","	0.723994"
"8024.52	","	0.73599"
"8024.53	","	0.725361"
"8024.54	","	0.723309"
"8024.55	","	0.734164"
"8024.56	","	0.728879"
"8024.57	","	0.728055"
"8024.58	","	0.748361"
"8024.59	","	0.725138"
"8024.6	","	0.736242"
"8024.61	","	0.751514"
"8024.62	","	0.746559"
"8024.63	","	0.760182"
"8024.64	","	0.767143"
"8024.65	","	0.78395"
"8024.66	","	0.764343"
"8024.67	","	0.774927"
"8024.68	","	0.773642"
"8024.69	","	0.793985"
"8024.7	","	0.796153"
"8024.71	","	0.804797"
"8024.72	","	0.815291"
"8024.73	","	0.804942"
"8024.74	","	0.816311"
"8024.75	","	0.826589"
"8024.76	","	0.814831"
"8024.77	","	0.832984"
"8024.78	","	0.817397"
"8024.79	","	0.829381"
"8024.8	","	0.848994"
"8024.81	","	0.838455"
"8024.82	","	0.85583"
"8024.83	","	0.859478"
"8024.84	","	0.822257"
"8024.85	","	0.863777"
"8024.86	","	0.847226"
"8024.87	","	0.84272"
"8024.88	","	0.863658"
"8024.89	","	0.872815"
"8024.9	","	0.888005"
"8024.91	","	0.888244"
"8024.92	","	0.886395"
"8024.93	","	0.882428"
"8024.94	","	0.896628"
"8024.95	","	0.90528"
"8024.96	","	0.919854"
"8024.97	","	0.917013"
"8024.98	","	0.932446"
"8024.99	","	0.8954"
"8025	","	0.936144"
"8025.01	","	0.937954"
"8025.02	","	0.946643"
"8025.03	","	0.931136"
"8025.04	","	0.942435"
"8025.05	","	0.954298"
"8025.06	","	0.940787"
"8025.07	","	0.952517"
"8025.08	","	0.96158"
"8025.09	","	0.961519"
"8025.1	","	0.968021"
"8025.11	","	0.979136"
"8025.12	","	1.00629"
"8025.13	","	0.985186"
"8025.14	","	1.01134"
"8025.15	","	1.00321"
"8025.16	","	1.00772"
"8025.17	","	1.01314"
"8025.18	","	1.01758"
"8025.19	","	1.02175"
"8025.2	","	1.02605"
"8025.21	","	1.00691"
"8025.22	","	1.03606"
"8025.23	","	1.03625"
"8025.24	","	1.07108"
"8025.25	","	1.05806"
"8025.26	","	1.07314"
"8025.27	","	1.0638"
"8025.28	","	1.08864"
"8025.29	","	1.0772"
"8025.3	","	1.09002"
"8025.31	","	1.10099"
"8025.32	","	1.08627"
"8025.33	","	1.10151"
"8025.34	","	1.12205"
"8025.35	","	1.1145"
"8025.36	","	1.14151"
"8025.37	","	1.14307"
"8025.38	","	1.14077"
"8025.39	","	1.14298"
"8025.4	","	1.15341"
"8025.41	","	1.13705"
"8025.42	","	1.14856"
"8025.43	","	1.15388"
"8025.44	","	1.19683"
"8025.45	","	1.192"
"8025.46	","	1.19489"
"8025.47	","	1.1873"
"8025.48	","	1.19181"
"8025.49	","	1.22922"
"8025.5	","	1.21509"
"8025.51	","	1.23488"
"8025.52	","	1.21665"
"8025.53	","	1.23151"
"8025.54	","	1.25689"
"8025.55	","	1.24985"
"8025.56	","	1.2759"
"8025.57	","	1.27967"
"8025.58	","	1.28567"
"8025.59	","	1.27197"
"8025.6	","	1.30202"
"8025.61	","	1.31204"
"8025.62	","	1.29869"
"8025.63	","	1.30558"
"8025.64	","	1.32518"
"8025.65	","	1.32671"
"8025.66	","	1.31942"
"8025.67	","	1.34977"
"8025.68	","	1.36412"
"8025.69	","	1.38537"
"8025.7	","	1.33642"
"8025.71	","	1.35025"
"8025.72	","	1.39358"
"8025.73	","	1.3775"
"8025.74	","	1.37883"
"8025.75	","	1.40028"
"8025.76	","	1.38562"
"8025.77	","	1.42187"
"8025.78	","	1.39655"
"8025.79	","	1.43652"
"8025.8	","	1.42225"
"8025.81	","	1.43859"
"8025.82	","	1.4381"
"8025.83	","	1.49697"
"8025.84	","	1.46772"
"8025.85	","	1.46027"
"8025.86	","	1.46324"
