# Atomic number Z= 29  Date:10-1-2023

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	93		M2M54s	 6	 3		-44861.21745		100.6659            0.0016556305439959823
	94		M3M54s	 8	 1		-44877.12173		84.76162            0.0002904356430466181
	95		M3M34s	 0	 1		-44793.89658		167.98677           0.0013984426223596442
	96		M2M24s	 0	 2		-44784.24970		177.63365           0.0015463643102641112
	97		M2M34s	 2	 1		-44794.09141		167.79194           0.0014036634840927807
	98		M3M34s	 4	 1		-44796.13421		165.74914           0.001347575286473677
	99		M2M34s	 4	 2		-44790.64293		171.24042           0.0012785715321148635
	100		M1M44s	 2	 1		-44823.70664		138.17671           0.0002712170260363505
	101		M1M44s	 4	 1		-44823.82132		138.06203           0.0002727872655575558
	102		M1M54s	 4	 2		-44818.30857		143.57478           0.0002644523502206643
	103		M1M54s	 6	 1		-44823.98259		137.90076           0.00027379240589207307
	104		M1M24s	 0	 1		-44748.89737		212.98598           0.0008209958008364276
	105		M1M24s	 2	 1		-44749.83372		212.04963           0.0008009441382217815
	106		M1M34s	 2	 2		-44735.46886		226.41449           0.0014161562500501143
	107		M1M34s	 4	 1		-44751.45315		210.4302            0.0007603850963885541
	108		M1M14s	 0	 1		-44694.53383		267.34952           0.0003158496824750014
	109		K1K14p	 0	 1		-26597.86572		18364.01763			9.870371158165586
	110		K1K14p	 2	 1		-26597.81383		18364.06952         10.578527722866445
	111		K1K14p	 2	 2		-26593.95060		18367.93275         9.198262661306181
	112		K1K14p	 4	 1		-26597.71035		18364.173           7.6117883509099755
	113		K1L34p	 0	 1		-34959.94184		10001.94151         3.2520659838919173
	114		K1L34p	 0	 2		-34950.36462		10011.51873         3.8042583690531115
	115		K1L34p	 0	 3		-34946.65399		10015.22936         3.5479128192157097
	116		K1L34p	 0	 4		-34913.76375		10048.1196          5.329893895558042
	117		K1L24p	 0	 5		-34926.69926		10035.18409         5.384699406553644
	118		K1L24p	 0	 6		-34922.95610		10038.92725         5.165750679985801
	119		K1L34p	 2	 1		-34960.24786		10001.63549         3.288502215928046
	120		K1L34p	 2	 2		-34960.06184		10001.82151         3.1925163614720775
	121		K1L24p	 2	 11		-34926.72959		10035.15376         5.246033447038401
	122		K1L24p	 2	 12		-34926.68750		10035.19585         5.452748299598174
	123		K1L24p	 2	 13		-34922.93194		10038.95141         5.173460787434996
	124		K1L34p	 2	 3		-34956.55019		10005.33316         2.967532236610514
	125		K1L34p	 2	 4		-34950.59774		10011.28561         3.5644645083732485
	126		K1L34p	 2	 5		-34950.46642		10011.41693         3.6641278694267214
	127		K1L34p	 2	 6		-34950.23660		10011.64675         3.5991201168371463
	128		K1L34p	 2	 7		-34597.46989		10364.41346         0.0014698036578777126
	129		K1L24p	 2	 8		-34935.44892		10026.43443         3.42300987582542
	130		K1L24p	 2	 9		-34931.63407		10030.24928         3.172684555209527
	131		K1L24p	 2	 10		-34926.85273		10035.03062         5.262100168650866
	132		K1L34p	 4	 1		-34960.58277		10001.30058         3.2214625741192653
	133		K1L34p	 4	 2		-34960.32954		10001.55381         3.217371789291647
	134		K1L24p	 4	 11		-34922.93421		10038.94914         5.155555655969735
	135		K1L34p	 4	 3		-34960.16425		10001.7191          3.2784521320839706
	136		K1L34p	 4	 4		-34956.54220		10005.34115         3.08968023301937
	137		K1L34p	 4	 5		-34950.56760		10011.31575         3.8672589928230465
	138		K1L34p	 4	 6		-34950.39681		10011.48654         3.623470558260235
	139		K1L34p	 4	 7		-34946.67876		10015.20459         3.550901816498847
	140		K1L24p	 4	 8		-34932.85025		10029.0331          2.099566925396742
	141		K1L24p	 4	 9		-34926.82579		10035.05756         5.458426712501905
	142		K1L24p	 4	 10		-34926.67731		10035.20604         7.053488272778153
	143		K1L34p	 6	 1		-34960.45980		10001.42355         3.1977424654147013
	144		K1L34p	 6	 2		-34960.25502		10001.62833         3.0876198159903185
	145		K1L34p	 6	 3		-34956.55088		10005.33247         3.188146752487496
	146		K1L34p	 6	 4		-34950.47893		10011.40442         3.339061808553992
