Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
22 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 1 	 3p*2 3p3 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 88.22235 	 7.7750712E+03 	 5.24215e-05 	 0.407581 	 7.48067
23 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 2 	 3p*2 3p3 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 89.46705 	 7.7753569E+03 	 0.00143936 	 11.1915 	 9.62473
24 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 1 	 3p*2 3p3 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 91.42572 	 7.7757409E+03 	 0.000114353 	 0.889179 	 6.83822
25 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 5 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p3 3d*4 3d6  	 100 	 7.7763906E+03 	 2.63639e-07 	 0.00205016 	 5.97184
26 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 3 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 51.20338 	 7.8516360E+03 	 2.14804e-06 	 0.0168656 	 8.65297
27 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 3 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 57.76885 	 7.8516551E+03 	 3.59386e-06 	 0.0282177 	 8.88286
28 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 2 	 3d*3 3d6 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 86.19364 	 7.8536310E+03 	 6.87108e-05 	 0.539629 	 9.91915
29 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 2 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 82.98707 	 7.8538783E+03 	 9.6559e-05 	 0.758363 	 10.0919
30 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 1 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*3 3d6  	 100 	 7.8541164E+03 	 5.42565e-09 	 4.26137e-05 	 7.88563
31 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 3 	 1 	 3d*3 3d6 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 72.55351 	 7.8542035E+03 	 3.06159e-07 	 0.00240464 	 7.91944
32 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 5 	 1 	 3d*4 3d5 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4  	 63.25139 	 7.8543281E+03 	 7.97856e-07 	 0.00626662 	 7.91519
33 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3d 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1  	 7 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d5  	 100 	 7.8544718E+03 	 5.8447e-09 	 4.5907e-05 	 7.87015
