# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	  89	   K1	    0	         1 ---> 	 M1M2	    1	         2	     8.7555113E+03	       2.99571e-05	           1.51731
	  90	   K1	    0	         1 ---> 	 M1M2	    1	         1	     8.7564072E+03	       8.61189e-06	           1.51731
	  91	   K1	    0	         1 ---> 	 M1M2	    3	         2	     8.7565953E+03	       3.60991e-05	           1.51731
	  92	   K1	    0	         1 ---> 	 M1M3	    3	         1	     8.7578963E+03	       4.16781e-05	           1.51731
	  93	   K1	    0	         1 ---> 	 M1M3	    5	         1	     8.7583293E+03	       3.64315e-08	           1.51731
	  94	   K1	    0	         1 ---> 	 M2M2	    1	         3	     8.7905151E+03	       7.08632e-05	           1.51731
	  95	   K1	    0	         1 ---> 	 M2M3	    3	         3	     8.7968896E+03	       0.000284018	           1.51731
	  96	   K1	    0	         1 ---> 	 M2M3	    5	         2	     8.7969302E+03	       0.000431877	           1.51731
	  97	   K1	    0	         1 ---> 	 M2M3	    1	         2	     8.7997972E+03	        1.3871e-06	           1.51731
	  98	   K1	    0	         1 ---> 	 M2M3	    3	         2	     8.8004472E+03	       2.40939e-07	           1.51731
	  99	   K1	    0	         1 ---> 	 M2M3	    1	         1	     8.8005070E+03	       3.22656e-06	           1.51731
	 100	   K1	    0	         1 ---> 	 M3M3	    3	         1	     8.8020895E+03	       1.46615e-05	           1.51731
	 101	   K1	    0	         1 ---> 	 M3M3	    5	         1	     8.8026687E+03	       2.46969e-05	           1.51731
	 102	   K1	    0	         1 ---> 	 M1M5	    5	         3	     8.8250947E+03	       1.88256e-07	           1.51731
	 103	   K1	    0	         1 ---> 	 M1M5	    3	         3	     8.8250995E+03	       2.02667e-07	           1.51731
	 104	   K1	    0	         1 ---> 	 M1M4	    3	         2	     8.8301030E+03	        7.1528e-06	           1.51731
	 105	   K1	    0	         1 ---> 	 M1M5	    5	         2	     8.8302914E+03	       9.87048e-06	           1.51731
	 106	   K1	    0	         1 ---> 	 M1M4	    1	         1	     8.8306575E+03	       7.14837e-10	           1.51731
	 107	   K1	    0	         1 ---> 	 M1M4	    3	         1	     8.8307187E+03	       4.35234e-09	           1.51731
	 108	   K1	    0	         1 ---> 	 M1M5	    5	         1	     8.8308147E+03	       1.95731e-08	           1.51731
	 109	   K1	    0	         1 ---> 	 M1M5	    7	         1	     8.8309379E+03	       6.18694e-10	           1.51731
	 110	   K1	    0	         1 ---> 	 M1N1	    1	         1	     8.8376039E+03	       6.60234e-07	           1.51731
	 111	   K1	    0	         1 ---> 	 M2M5	    5	         7	     8.8675262E+03	       2.75473e-05	           1.51731
	 112	   K1	    0	         1 ---> 	 M2M5	    7	         4	     8.8675357E+03	       4.20385e-05	           1.51731
	 113	   K1	    0	         1 ---> 	 M2M4	    3	         7	     8.8686183E+03	        1.6264e-07	           1.51731
	 114	   K1	    0	         1 ---> 	 M2M4	    1	         4	     8.8686310E+03	       1.79494e-07	           1.51731
	 115	   K1	    0	         1 ---> 	 M2M5	    3	         6	     8.8748638E+03	       3.25285e-07	           1.51731
	 116	   K1	    0	         1 ---> 	 M2M5	    5	         6	     8.8753119E+03	       1.35033e-07	           1.51731
	 117	   K1	    0	         1 ---> 	 M2M4	    3	         5	     8.8756736E+03	       4.20412e-08	           1.51731
	 118	   K1	    0	         1 ---> 	 M2M4	    1	         3	     8.8758206E+03	       3.45983e-08	           1.51731
	 119	   K1	    0	         1 ---> 	 M3M5	    5	         5	     8.8762727E+03	       5.42214e-07	           1.51731
	 120	   K1	    0	         1 ---> 	 M3M5	    7	         3	     8.8768401E+03	       1.06438e-07	           1.51731
	 121	   K1	    0	         1 ---> 	 M3M4	    3	         4	     8.8768855E+03	       7.34612e-07	           1.51731
	 122	   K1	    0	         1 ---> 	 M3M4	    1	         2	     8.8772416E+03	       5.07799e-07	           1.51731
	 123	   K1	    0	         1 ---> 	 M3M4	    5	         4	     8.8774627E+03	       7.85807e-08	           1.51731
	 124	   K1	    0	         1 ---> 	 M3M4	    3	         3	     8.8778711E+03	       2.78054e-08	           1.51731
