# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 102	   K1	    0	         1 ---> 	 M1M5	    5	         3	     8.8250947E+03	       1.88254e-07	           1.51732
	 103	   K1	    0	         1 ---> 	 M1M5	    3	         3	     8.8250995E+03	       2.02665e-07	           1.51732
	 104	   K1	    0	         1 ---> 	 M1M4	    3	         2	     8.8301030E+03	       7.15274e-06	           1.51732
	 105	   K1	    0	         1 ---> 	 M1M5	    5	         2	     8.8302914E+03	        9.8704e-06	           1.51732
	 106	   K1	    0	         1 ---> 	 M1M4	    1	         1	     8.8306575E+03	       7.14831e-10	           1.51732
	 107	   K1	    0	         1 ---> 	 M1M4	    3	         1	     8.8307187E+03	        4.3523e-09	           1.51732
	 108	   K1	    0	         1 ---> 	 M1M5	    5	         1	     8.8308147E+03	       1.95729e-08	           1.51732
	 109	   K1	    0	         1 ---> 	 M1M5	    7	         1	     8.8309379E+03	       6.18689e-10	           1.51732
	 110	   K1	    0	         1 ---> 	 M1N1	    1	         1	     8.8376039E+03	       6.60228e-07	           1.51732
	 111	   K1	    0	         1 ---> 	 M2M5	    5	         7	     8.8675262E+03	       2.75471e-05	           1.51732
	 112	   K1	    0	         1 ---> 	 M2M5	    7	         4	     8.8675357E+03	       4.20382e-05	           1.51732
	 113	   K1	    0	         1 ---> 	 M2M4	    3	         7	     8.8686183E+03	       1.62638e-07	           1.51732
	 114	   K1	    0	         1 ---> 	 M2M4	    1	         4	     8.8686310E+03	       1.79492e-07	           1.51732
	 115	   K1	    0	         1 ---> 	 M2M5	    3	         6	     8.8748638E+03	       3.25283e-07	           1.51732
	 116	   K1	    0	         1 ---> 	 M2M5	    5	         6	     8.8753119E+03	       1.35032e-07	           1.51732
	 117	   K1	    0	         1 ---> 	 M2M4	    3	         5	     8.8756736E+03	       4.20409e-08	           1.51732
	 118	   K1	    0	         1 ---> 	 M2M4	    1	         3	     8.8758206E+03	        3.4598e-08	           1.51732
	 119	   K1	    0	         1 ---> 	 M3M5	    5	         5	     8.8762727E+03	       5.42209e-07	           1.51732
	 120	   K1	    0	         1 ---> 	 M3M5	    7	         3	     8.8768401E+03	       1.06437e-07	           1.51732
	 121	   K1	    0	         1 ---> 	 M3M4	    3	         4	     8.8768855E+03	       7.34605e-07	           1.51732
	 122	   K1	    0	         1 ---> 	 M3M4	    1	         2	     8.8772416E+03	       5.07795e-07	           1.51732
	 123	   K1	    0	         1 ---> 	 M3M4	    5	         4	     8.8774627E+03	         7.858e-08	           1.51732
